Participant No.,How excited did you feel? (H),How happy did you feel? (H),How content did you feel? (H),How calm did you feel? (H),How bored did you feel? (H),How sad did you feel? (H),How stressed did you feel? (H),How fearful did you feel? (H),Level of Arousal (H),Level of Valence (H),The virtual environment seemed real to me (H),"I had a sense of acting in the virtual environment, rather than operating something from outside. (H)",My experience in the virtual environment seemed consistent with my experiences in the real world. (H),"While I was in the virtual environment, I had a sense of “being there”. (H)",I was completely captivated by the virtual world. (H),I felt like I was in the presence of another person in the virtual environment.  (H),I felt that the people in the virtual environment were aware of my presence. (H),The people in the virtual environment appeared to be sentient (conscious and alive) to me. (H),"During the simulation there were times where the computer interface seemed to disappear, and I felt like I was working directly with another person. (H)","I had a sense that I was interacting with other people in the virtual environment, rather than a computer simulation. (H)",I felt like my virtual embodiment was an extension of my real body within the virtual environment. (H),"When something happened to my virtual embodiment, it felt like it was happening to my real body. (H)",I felt like my real arm was projected into the virtual environment through my virtual embodiment. (H),I felt like my real hand was inside of the virtual environment. (H),"During the simulation, I felt like my virtual embodiment and my real body became one and the same. (H)",I enjoyed doing this activity very much (H),This activity was fun to do. (H),I thought this was a boring activity. (H),This activity did not hold my attention at all. (H),I would describe this activity as very interesting. (H),I thought this activity was quite enjoyable. (H),"While I was doing this activity, I was thinking about how much I enjoyed it. (H)",I think I am pretty good at this activity. (H),"I think I did pretty well at this activity, compared to other students. (H)","After working at this activity for awhile, I felt pretty competent. (H)",I am satisfied with my performance at this task. (H),I was pretty skilled at this activity. (H),This was an activity that I couldn't do very well. (H),I put a lot of effort into this (H),I didn't try very hard to do well at this activity. (H),I tried very hard on this activity. (H),It was important to me to do well at this task. (H),I didn't put much energy into this. (H),I did not feel nervous at all while doing this. (H),I felt very tense while doing this activity (H),I was very relaxed in doing these. (H),I was anxious while working on this task. (H),I felt pressured while doing these. (H),I believe I had some choice about doing this activity. (H),I felt like it was not my own choice to do this task. (H),I didn't really have a choice about doing this task. (H),I felt like I had to do this. (H),I did this activity because I had no choice. (H),I did this activity because I wanted to. (H),I did this activity because I had to. (H),I believe this activity could be of some value to me. (H),I think that doing this activity is useful. (H),I think this is important to do. (H),I would be willing to do this again because it has some value to me. (H),I think doing this activity could help me (H),I believe doing this activity could be beneficial to me. (H),I think this is an important activity. (H),Physical Presence (H),Social Presence (H),Self-Presence (H),Presence (H),Interest/Enjoyment (H),Perceived Competence (H),Effort/Importance (H),Pressure/Tension (H),Perceived Choice (H),Value/Usefulness (H),How excited did you feel? (C),How happy did you feel? (C),How content did you feel? (C),How calm did you feel? (C),How bored did you feel? (C),How sad did you feel? (C),How stressed did you feel? (C),How fearful did you feel? (C),Level of Arousal (C),Level of Valence (C),The virtual environment seemed real to me (C),"I had a sense of acting in the virtual environment, rather than operating something from outside. (C)",My experience in the virtual environment seemed consistent with my experiences in the real world. (C),"While I was in the virtual environment, I had a sense of “being there”. (C)",I was completely captivated by the virtual world. (C),I felt like I was in the presence of another person in the virtual environment.  (C),I felt that the people in the virtual environment were aware of my presence. (C),The people in the virtual environment appeared to be sentient (conscious and alive) to me. (C),"During the simulation there were times where the computer interface seemed to disappear, and I felt like I was working directly with another person. (C)","I had a sense that I was interacting with other people in the virtual environment, rather than a computer simulation. (C)",I felt like my virtual embodiment was an extension of my real body within the virtual environment. (C),"When something happened to my virtual embodiment, it felt like it was happening to my real body. (C)",I felt like my real arm was projected into the virtual environment through my virtual embodiment. (C),I felt like my real hand was inside of the virtual environment. (C),"During the simulation, I felt like my virtual embodiment and my real body became one and the same. (C)",I enjoyed doing this activity very much (C),This activity was fun to do. (C),I thought this was a boring activity. (C),This activity did not hold my attention at all. (C),I would describe this activity as very interesting. (C),I thought this activity was quite enjoyable. (C),"While I was doing this activity, I was thinking about how much I enjoyed it. (C)",I think I am pretty good at this activity. (C),"I think I did pretty well at this activity, compared to other students. (C)","After working at this activity for awhile, I felt pretty competent. (C)",I am satisfied with my performance at this task. (C),I was pretty skilled at this activity. (C),This was an activity that I couldn't do very well. (C),I put a lot of effort into this (C),I didn't try very hard to do well at this activity. (C),I tried very hard on this activity. (C),It was important to me to do well at this task. (C),I didn't put much energy into this. (C),I did not feel nervous at all while doing this. (C),I felt very tense while doing this activity (C),I was very relaxed in doing these. (C),I was anxious while working on this task. (C),I felt pressured while doing these. (C),I believe I had some choice about doing this activity. (C),I felt like it was not my own choice to do this task. (C),I didn't really have a choice about doing this task. (C),I felt like I had to do this. (C),I did this activity because I had no choice. (C),I did this activity because I wanted to. (C),I did this activity because I had to. (C),I believe this activity could be of some value to me. (C),I think that doing this activity is useful. (C),I think this is important to do. (C),I would be willing to do this again because it has some value to me. (C),I think doing this activity could help me (C),I believe doing this activity could be beneficial to me. (C),I think this is an important activity. (C),Physical Presence (C),Social Presence (C),Self-Presence (C),Presence (C),Interest/Enjoyment (C),Perceived Competence (C),Effort/Importance (C),Pressure/Tension (C),Perceived Choice (C),Value/Usefulness (C),How excited did you feel? (F),How happy did you feel? (F),How content did you feel? (F),How calm did you feel? (F),How bored did you feel? (F),How sad did you feel? (F),How stressed did you feel? (F),How fearful did you feel? (F),Level of Arousal (F),Level of Valence (F),The virtual environment seemed real to me (F),"I had a sense of acting in the virtual environment, rather than operating something from outside. (F)",My experience in the virtual environment seemed consistent with my experiences in the real world. (F),"While I was in the virtual environment, I had a sense of “being there”. (F)",I was completely captivated by the virtual world. (F),I felt like I was in the presence of another person in the virtual environment.  (F),I felt that the people in the virtual environment were aware of my presence. (F),The people in the virtual environment appeared to be sentient (conscious and alive) to me. (F),"During the simulation there were times where the computer interface seemed to disappear, and I felt like I was working directly with another person. (F)","I had a sense that I was interacting with other people in the virtual environment, rather than a computer simulation. (F)",I felt like my virtual embodiment was an extension of my real body within the virtual environment. (F),"When something happened to my virtual embodiment, it felt like it was happening to my real body. (F)",I felt like my real arm was projected into the virtual environment through my virtual embodiment. (F),I felt like my real hand was inside of the virtual environment. (F),"During the simulation, I felt like my virtual embodiment and my real body became one and the same. (F)",I enjoyed doing this activity very much (F),This activity was fun to do. (F),I thought this was a boring activity. (F),This activity did not hold my attention at all. (F),I would describe this activity as very interesting. (F),I thought this activity was quite enjoyable. (F),"While I was doing this activity, I was thinking about how much I enjoyed it. (F)",I think I am pretty good at this activity. (F),"I think I did pretty well at this activity, compared to other students. (F)","After working at this activity for awhile, I felt pretty competent. (F)",I am satisfied with my performance at this task. (F),I was pretty skilled at this activity. (F),This was an activity that I couldn't do very well. (F),I put a lot of effort into this (F),I didn't try very hard to do well at this activity. (F),I tried very hard on this activity. (F),It was important to me to do well at this task. (F),I didn't put much energy into this. (F),I did not feel nervous at all while doing this. (F),I felt very tense while doing this activity (F),I was very relaxed in doing these. (F),I was anxious while working on this task. (F),I felt pressured while doing these. (F),I believe I had some choice about doing this activity. (F),I felt like it was not my own choice to do this task. (F),I didn't really have a choice about doing this task. (F),I felt like I had to do this. (F),I did this activity because I had no choice. (F),I did this activity because I wanted to. (F),I did this activity because I had to. (F),I believe this activity could be of some value to me. (F),I think that doing this activity is useful. (F),I think this is important to do. (F),I would be willing to do this again because it has some value to me. (F),I think doing this activity could help me (F),I believe doing this activity could be beneficial to me. (F),I think this is an important activity. (F),Physical Presence (F),Social Presence (F),Self-Presence (F),Presence (F),Interest/Enjoyment (F),Perceived Competence (F),Effort/Importance (F),Pressure/Tension (F),Perceived Choice (F),Value/Usefulness (F),How excited did you feel? (S),How happy did you feel? (S),How content did you feel? (S),How calm did you feel? (S),How bored did you feel? (S),How sad did you feel? (S),How stressed did you feel? (S),How fearful did you feel? (S),Level of Arousal (S),Level of Valence (S),The virtual environment seemed real to me (S),"I had a sense of acting in the virtual environment, rather than operating something from outside. (S)",My experience in the virtual environment seemed consistent with my experiences in the real world. (S),"While I was in the virtual environment, I had a sense of “being there”. (S)",I was completely captivated by the virtual world. (S),I felt like I was in the presence of another person in the virtual environment.  (S),I felt that the people in the virtual environment were aware of my presence. (S),The people in the virtual environment appeared to be sentient (conscious and alive) to me. (S),"During the simulation there were times where the computer interface seemed to disappear, and I felt like I was working directly with another person. (S)","I had a sense that I was interacting with other people in the virtual environment, rather than a computer simulation. (S)",I felt like my virtual embodiment was an extension of my real body within the virtual environment. (S),"When something happened to my virtual embodiment, it felt like it was happening to my real body. (S)",I felt like my real arm was projected into the virtual environment through my virtual embodiment. (S),I felt like my real hand was inside of the virtual environment. (S),"During the simulation, I felt like my virtual embodiment and my real body became one and the same. (S)",I enjoyed doing this activity very much (S),This activity was fun to do. (S),I thought this was a boring activity. (S),This activity did not hold my attention at all. (S),I would describe this activity as very interesting. (S),I thought this activity was quite enjoyable. (S),"While I was doing this activity, I was thinking about how much I enjoyed it. (S)",I think I am pretty good at this activity. (S),"I think I did pretty well at this activity, compared to other students. (S)","After working at this activity for awhile, I felt pretty competent. (S)",I am satisfied with my performance at this task. (S),I was pretty skilled at this activity. (S),This was an activity that I couldn't do very well. (S),I put a lot of effort into this (S),I didn't try very hard to do well at this activity. (S),I tried very hard on this activity. (S),It was important to me to do well at this task. (S),I didn't put much energy into this. (S),I did not feel nervous at all while doing this. (S),I felt very tense while doing this activity (S),I was very relaxed in doing these. (S),I was anxious while working on this task. (S),I felt pressured while doing these. (S),I believe I had some choice about doing this activity. (S),I felt like it was not my own choice to do this task. (S),I didn't really have a choice about doing this task. (S),I felt like I had to do this. (S),I did this activity because I had no choice. (S),I did this activity because I wanted to. (S),I did this activity because I had to. (S),I believe this activity could be of some value to me. (S),I think that doing this activity is useful. (S),I think this is important to do. (S),I would be willing to do this again because it has some value to me. (S),I think doing this activity could help me (S),I believe doing this activity could be beneficial to me. (S),I think this is an important activity. (S),Physical Presence (S),Social Presence (S),Self-Presence (S),Presence (S),Interest/Enjoyment (S),Perceived Competence (S),Effort/Importance (S),Pressure/Tension (S),Perceived Choice (S),Value/Usefulness (S),H Index,C Index,F Index,S Index,What is your age?,What is your gender?,To what extent have you used VR before?,General Discomfort,Fatigue,Headache,Eye Strain,Difficulty Focusing,Increasing Salivation,Sweating,Difficulty Concentrating,Fullness of Head,Blurred Vision,Dizzy (Eyes Open),Dizzy (Eyes Closed),Vertigo,Stomach Awareness,Burping
11,6,8,8,7,1,0,0,1,0.29,0.76,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,7,7,2,1,6,7,7,5,5,5,5,5,5,3,5,3,5,5,7,1,7,1,1,1,1,1,1,7,7,1,5,6,6,6,5,5,6,4,1,3,2.67,6.71,4.67,3.4,1,5.29,5.57,1,8,10,10,0,0,0,0,0.12,0.84,4,4,4,4,4,1,1,1,1,1,3,3,3,3,3,7,6,2,2,6,7,6,5,4,4,4,4,4,2,5,2,4,5,7,1,7,1,1,7,1,1,1,1,7,1,5,6,6,6,5,5,5,4,1,3,2.67,6.29,4.17,2.8,1,7,5.43,1,0,0,0,1,5,7,9,0.87,0.14,5,5,5,5,5,1,1,1,1,1,3,3,3,3,3,4,4,2,2,4,3,3,4,4,4,4,4,4,2,5,2,2,5,3,4,3,3,3,7,1,1,1,1,7,1,4,5,5,4,4,4,4,5,1,3,3,4.29,4,2.4,4,7,4.29,0,3,2,6,2,5,1,0,0.29,0.43,5,5,4,5,4,1,1,1,1,1,2,2,3,3,3,7,7,1,1,7,7,7,5,5,5,5,5,5,3,3,3,5,5,7,1,7,1,1,7,1,1,1,1,7,1,6,5,5,6,6,6,5,4.6,1,2.6,2.73,7,4.67,3.8,1,7,5.57,4,3,2,1,22,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,4,8,8,3,0,0,0,0.34,0.82,4,3,4,3,3,1,3,1,2,1,1,1,1,1,2,5,4,3,3,4,5,2,4,4,4,5,4,3,4,1,4,5,1,4,2,6,3,1,7,1,1,1,1,7,1,4,4,5,4,4,4,5,3.4,1.6,1.2,2.07,4.29,4.33,5.4,2.4,7,4.29,2,7,8,8,1,0,0,0,0.76,0.87,3,3,4,3,4,5,3,4,3,3,3,4,1,1,1,5,5,4,2,5,4,5,5,5,6,5,5,2,4,2,4,5,3,6,2,7,2,1,7,1,1,1,1,7,1,4,4,5,5,4,4,5,3.4,3.6,2,3,4.86,5.33,4.8,1.6,7,4.43,2,0,0,0,1,1,6,7,0.86,0.09,4,3,2,3,4,4,4,3,5,4,1,1,1,1,1,4,4,1,2,5,3,1,3,2,2,4,2,4,4,1,4,2,4,3,6,1,6,1,7,1,1,1,1,7,1,2,4,5,5,4,2,5,3.2,4,1,2.73,4.29,2.83,4.2,5,7,3.86,0,2,3,5,1,1,0,0,0.69,0.56,3,4,4,4,3,1,1,1,1,1,3,1,1,1,3,5,5,3,2,5,5,4,4,4,5,6,4,2,4,2,4,5,3,5,2,5,2,1,7,1,1,1,1,7,1,4,4,5,4,4,4,4,3.6,1,1.8,2.13,5,4.83,4.8,2.2,7,4.14,2,4,1,3,22,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,10,9,8,7,0,0,0,0,0.8,0.87,4,4,3,4,5,1,1,1,1,1,4,1,1,2,4,7,7,1,1,7,6,6,7,7,7,7,7,1,3,3,3,3,3,7,1,6,1,1,7,1,1,1,1,7,1,4,6,5,6,4,4,5,4,1,2.4,2.47,6.71,7,3.8,1.2,7,4.86,5,9,10,10,0,0,0,0,0.71,0.72,4,3,4,5,5,1,1,1,1,1,4,1,2,2,4,7,7,1,1,7,7,7,7,7,7,7,7,7,3,3,3,3,3,7,2,7,1,1,7,7,1,1,1,7,1,5,5,5,5,4,4,5,4.2,1,2.6,2.6,7,6,3.8,1.2,6.14,4.71,2,1,1,1,0,0,5,7,0.8,0.24,4,3,4,4,5,4,4,1,1,2,4,3,1,1,4,7,7,1,1,7,7,4,7,7,7,7,7,1,3,3,3,3,3,2,4,3,4,1,7,1,1,1,1,7,1,4,5,5,5,4,4,5,4,2.4,2.6,3,6.57,7,3.8,4,7,4.57,1,3,1,2,0,2,0,1,0.34,0.25,4,4,5,4,4,1,1,1,1,1,4,1,1,1,4,5,5,1,1,6,5,5,7,7,7,7,7,1,3,3,3,3,3,6,2,4,1,1,7,1,1,1,1,7,1,3,4,4,4,3,3,3,4.2,1,2.2,2.47,5.71,7,3.8,2,7,3.43,1,2,3,4,21,2,4,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1
14,2,8,6,7,2,0,0,0,0.65,0.77,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.2,3,3,3.4,4,4,4,4,4,4,1,4,3,7,2,0,0,0,0.1,0.63,5,3,3,5,5,3,3,3,3,3,3,3,3,3,3,4,3,4,2,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.2,3,3,3.4,4.14,4,4,4,4,4,1,0,0,0,1,0,1,2,0.58,0.21,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,5,5,2,3,5,4,2,4,4,4,4,4,4,4,4,4,4,4,5,3,1,1,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.6,3,3,3.2,4.57,4,4,3.2,4,4,0,0,1,1,2,6,0,0,0.25,0.26,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,2,2,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3.33,4,4,4,2.6,4,4,2,4,1,3,20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,7,7,7,7,2,0,0,0,0.74,0.83,4,3,4,4,5,3,3,3,3,3,3,3,3,3,3,5,5,3,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3.33,5,4,4,3.6,4,4,7,6,7,6,0,0,0,0,0.69,0.72,4,3,2,4,4,3,3,3,3,3,3,3,3,3,3,5,5,3,3,2,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4,3,3,3.13,4.29,4,4,4,4,4,0,3,3,5,6,0,1,2,0.66,0.39,4,3,2,4,4,3,3,3,3,3,3,3,3,3,3,4,5,4,3,3,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4,3,3,3.13,4.14,4,4,4,4,4,3,4,6,5,7,2,0,0,0.23,0.68,3,4,4,4,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3.4,3,3,3.13,4,4,4,4,4,4,4,3,2,1,21,2,3,4,1,1,2,2,2,2,2,2,2,1,1,1,1,1
15,9,10,10,10,0,0,0,0,1,0.99,4,4,4,4,5,1,1,1,1,1,2,2,1,1,2,7,7,1,1,7,7,7,7,7,7,7,7,1,3,2,3,1,3,7,1,7,1,1,7,1,1,1,1,7,1,7,7,7,7,7,7,7,4.2,1,1.6,2.27,7,7,3.6,1,7,7,9,9,9,7,0,0,3,1,0.79,0.95,1,5,2,4,5,1,1,1,1,1,2,2,1,1,3,7,7,1,1,7,7,6,5,7,6,5,5,1,2,3,2,2,3,4,3,3,2,1,7,1,1,1,1,7,1,6,2,2,6,4,4,4,3.4,1,1.8,2.07,6.86,5.83,3.2,3,7,4,10,10,7,4,0,0,5,2,1,1,5,5,4,5,5,4,3,3,1,1,4,4,1,1,4,7,7,1,1,7,7,7,7,7,7,7,7,1,3,3,3,2,3,1,4,2,3,1,7,1,1,1,1,7,1,7,7,7,7,7,7,7,4.8,2.4,2.8,3.33,7,7,3.6,4.2,7,7,4,6,5,5,1,0,1,1,0.55,0.6,4,5,3,5,5,1,1,1,1,1,3,1,1,1,2,5,5,3,2,4,5,6,5,6,5,4,4,1,3,2,1,1,2,3,1,5,1,1,7,1,1,1,1,7,1,5,5,6,6,6,6,6,4.4,1,1.6,2.33,5.14,5.17,3.4,2.2,7,5.71,3,1,4,2,20,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,8,9,9,8,0,0,0,0,0.3,0.82,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6,6,2,3,5,6,5,6,6,6,6,6,1,2,6,2,6,2,6,1,6,1,1,6,1,1,1,1,6,1,3,5,5,5,4,5,5,3,3,3,3,5.57,6.17,3.6,1.4,6.71,4.57,3,8,9,9,4,0,0,0,0.15,0.73,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,5,2,2,5,5,4,6,6,6,6,6,2,2,7,2,6,7,6,1,6,1,1,6,1,6,1,1,6,1,4,5,4,5,3,4,4,3.8,3,3,3.27,5.14,6,2.4,1.4,6,4.14,8,2,3,2,1,2,6,8,0.78,0.65,5,4,5,5,5,3,3,3,3,2,3,3,3,3,3,7,7,2,2,5,7,7,6,6,6,6,6,2,2,5,2,5,5,2,5,2,4,1,6,1,1,1,1,6,1,5,4,5,5,2,2,5,4.8,2.8,3,3.53,6.43,6,3,4.4,6.71,4,2,2,7,7,2,6,1,5,0.34,0.6,4,4,4,4,5,4,3,3,4,3,4,3,3,3,4,6,6,2,2,6,6,5,6,4,6,6,4,2,2,4,2,7,7,3,2,5,1,1,7,1,1,2,1,7,2,4,4,3,5,2,2,5,4.2,3.4,3.4,3.67,5.86,5.33,3.2,2.4,6.71,3.57,4,3,2,1,23,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,7,8,8,6,5,2,1,1,0.66,0.67,2,4,3,3,2,3,3,3,3,3,2,2,3,2,2,4,5,4,3,4,5,2,4,4,7,4,4,1,1,7,1,1,7,3,5,3,3,4,7,1,1,1,1,7,1,5,5,5,5,5,5,5,2.8,3,2.2,2.67,4.14,5,1,4.4,7,5,7,7,7,8,3,5,2,1,0.17,0.65,3,4,4,4,5,2,3,3,1,3,1,3,3,2,2,5,3,3,2,3,4,4,7,4,7,7,7,1,4,4,2,2,4,7,2,6,1,1,6,1,1,1,1,7,1,6,5,6,4,4,3,6,4,2.4,2.2,2.87,4.29,6.5,3.2,1.4,6.86,4.86,3,3,4,3,4,6,6,7,0.65,0.37,3,3,2,4,4,3,3,3,3,3,2,2,3,3,2,4,4,3,3,5,4,3,4,4,7,4,4,1,1,7,1,1,7,3,5,3,6,1,7,1,1,1,1,7,1,5,5,5,5,5,5,5,3.2,3,2.4,2.87,4.29,5,1,4.4,7,5,4,3,4,3,6,7,7,6,0.26,0.3,2,4,3,3,2,3,3,3,3,3,3,2,3,4,3,4,5,3,2,5,5,3,4,4,7,4,4,1,1,6,1,2,7,3,3,3,4,3,7,1,1,1,1,7,1,5,5,5,5,5,5,5,2.8,3,3,2.93,4.71,5,1.4,4,7,5,3,1,4,2,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
19,6,7,8,6,3,0,1,0,0.17,0.68,2,4,4,4,2,3,3,3,3,3,2,4,2,2,3,5,5,5,4,2,7,5,4,4,4,4,4,4,1,7,1,1,7,5,2,5,2,2,7,1,1,1,1,7,1,6,6,4,7,6,6,4,3.2,3,2.6,2.93,4.43,4,1,2.4,7,5.57,0,7,9,8,4,0,0,0,0.12,0.76,3,4,4,4,4,3,3,3,3,3,3,3,3,3,3,4,5,5,5,3,6,5,4,4,4,4,4,4,1,7,1,1,7,7,1,7,1,1,7,1,1,1,1,7,1,6,6,4,6,6,6,4,3.8,3,3,3.27,4.14,4,1,1,7,5.43,6,2,1,3,2,0,5,7,0.77,0.59,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,5,2,1,6,5,2,4,4,4,4,4,4,1,7,1,1,7,2,6,1,5,1,7,1,1,1,1,7,1,6,6,6,6,5,6,6,4,3,3,3.33,4.86,4,1,5,7,5.86,0,1,5,7,3,7,1,0,0.56,0.22,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,2,4,2,4,4,4,4,4,4,1,7,1,1,7,5,1,5,2,1,7,1,1,1,1,7,1,6,5,5,6,6,6,5,3.6,3,3,3.2,3.29,4,1,2,7,5.57,1,2,3,4,22,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,4,7,5,6,6,1,2,1,0.25,0.55,4,2,4,2,2,3,2,2,2,1,2,2,1,1,1,3,3,6,4,3,4,6,2,3,4,3,4,6,5,3,3,4,3,4,5,3,3,2,6,3,2,3,1,6,2,5,6,6,6,5,5,6,2.8,2,1.4,2.07,3.57,3,4.4,3.8,5.86,5.57,6,6,8,7,1,0,1,0,0.67,0.77,4,4,4,4,5,2,1,2,4,3,4,3,2,2,4,6,5,3,2,5,6,4,4,5,5,6,5,3,4,4,3,5,5,6,2,5,2,1,6,2,2,2,1,6,2,5,6,6,6,5,5,6,4.2,2.4,3,3.2,5.29,5,3.8,2,6.14,5.57,4,3,7,7,6,0,1,2,0.32,0.44,3,2,4,3,3,2,2,1,2,1,3,2,1,1,2,5,4,4,5,3,4,5,4,3,5,5,3,4,3,5,3,5,6,5,3,5,2,1,7,2,2,4,1,5,3,5,6,5,5,4,5,6,3,1.6,1.8,2.13,4,4,3.2,2.4,5.71,5.14,1,4,7,7,4,4,0,2,0.68,0.59,4,3,4,3,4,2,2,1,1,2,3,3,2,2,3,5,4,2,2,4,5,5,5,4,5,5,5,2,3,3,2,4,5,6,2,5,1,2,6,1,2,2,2,6,2,5,6,6,6,5,5,6,3.6,1.6,2.6,2.6,5,5,3.4,2,6.14,5.57,2,4,1,3,21,3,3,4,2,2,1,3,1,2,3,3,1,1,1,1,1,1
